gene_id	antibody_id
TXN2	CAB008681
TUBA1A	CAB008686
PRDX2	CAB008713
CDK5	CAB008909
MAPK9	CAB008910
CSF1R	CAB008970
PDZK1	CAB008971
MST1R	CAB008972
F2R	CAB008973
VCAN	CAB008979
ZBTB4	CAB008980
GRIN2D	CAB009006
ITGA5	CAB009008
ITGA6	CAB009009
TLR5	CAB009013
CCNT1	CAB009016
MBD1	CAB009017
UBE2I	CAB009021
AP1G1	CAB009049
TOP1	CAB009058
RNF31	CAB009063
MSH6	CAB009091
PI4KA	CAB009092
MYD88	CAB009104
DCTN1	CAB009108
IPO5	CAB009110
CAMKK1	CAB009111
SMAD9	CAB009119
CTTNBP2	CAB009151
NR3C2	CAB009155
MAVS	CAB009187
TNFSF13B	CAB009188
NLRP1	CAB009189
TNFSF11	CAB009193
GATA1	CAB009195
SMARCB1	CAB009196
XIAP	CAB009203
EIF2AK3	CAB009204
NOL3	CAB009208
TJP2	CAB009228
NTRK3	CAB009233
IKZF1	CAB009247
NFYA	CAB009250
PLCB3	CAB009257
CHURC1-FNTB	CAB009260
DVL2	CAB009312
DAB2	CAB009314
FKBP5	CAB009315
NEO1	CAB009320
ZYX	CAB009321
NSF	CAB009324
PIN1	CAB009326
PTPN1	CAB009329
BLNK	CAB009333
PLAT	CAB009335
MAPRE1	CAB009337
SMN2	CAB009344
MAG	CAB009345
TNNI3	CAB009349
EFNB2	CAB009368
YAP1	CAB009370
ATRX	CAB009372
EGR3	CAB009373
SOX30	CAB009382
IFNB1	CAB009386
TRPC1	CAB009387
YY1	CAB009392
DSG1	CAB009394
MUC5AC	CAB009395
MUC5B	CAB009396
CLCN2	CAB009397
CHGB	CAB009403
C3AR1	CAB009405
ARG1	CAB009434
ARG2	CAB009435
MAOA	CAB009437
F3	CAB009438
S100A9	CAB009441
TBP	CAB009442
PLCB2	CAB009443
GYPC	CAB009445
UMOD	CAB009446
PI3	CAB009449
PIGR	CAB009454
CDC45	CAB009459
GLI1	CAB009460
TRDMT1	CAB009468
DNMT3A	CAB009469
MBTPS2	CAB009486
CAST	CAB009491
CYBA	CAB009492
TYROBP	CAB009493
ERN1	CAB009495
FURIN	CAB009499
ARHGEF1	CAB009502
CACNA1S	CAB009507
TAP1	CAB009516
PTGIS	CAB009517
RFC1	CAB009520
ATP6V1B1	CAB009523
TBX21	CAB009524
HBB	CAB009526
ATP6V1E1	CAB009528
ATP6V1F	CAB009529
PTPN7	CAB009530
ATP6V1H	CAB009532
SOAT1	CAB009533
GUCY1A2	CAB009534
TF	CAB009538
TST	CAB009546
RPSA	CAB009561
ADH1A	CAB009562
BDNF	CAB009564
ANAPC7	CAB009567
GCLM	CAB009568
GCLC	CAB009569
SERPINB5	CAB009570
MSH2	CAB009572
CCNB2	CAB009575
MCM6	CAB009577
TPO	CAB009587
EZH2	CAB009589
ETV5	CAB009590
NAPSA	CAB009591
TRAF1	CAB009593
GTF2E2	CAB009603
SNRPB	CAB009610
KSR1	CAB009623
PLK2	CAB009624
CSNK1E	CAB009626
PRKG1	CAB009629
IL1RN	CAB009633
EPHA8	CAB009660
IGF2R	CAB009661
CNR2	CAB009719
NEDD9	CAB009720
UBE3A	CAB009723
DKK2	CAB009727
EPN1	CAB009729
PARD6A	CAB009733
WIPF1	CAB009737
RECQL	CAB009743
SNAP91	CAB009745
DDOST	CAB009746
RPN1	CAB009748
CD79B	CAB009751
PDE2A	CAB009752
PLXNA2	CAB009763
SLC27A4	CAB009771
CLDN11	CAB009789
MAP1B	CAB009792
ADD1	CAB009794
ADD2	CAB009796
ADD3	CAB009797
KLC1	CAB009798
NCOA3	CAB009800
PPP1R14A	CAB009803
TNFRSF21	CAB009805
KNG1	CAB009809
C4A	CAB009811
HPSE	CAB009813
LHCGR	CAB009814
FDXR	CAB009818
UGT1A6	CAB009819
HSPG2	CAB009820
SDHB	CAB009822
C1QA	CAB009823
C1QC	CAB009828
SPTBN2	CAB009844
DYNLRB1	CAB009845
KIF5B	CAB009846
TMPO	CAB009847
CNN3	CAB009849
HOXB3	CAB009860
RORA	CAB009861
NECTIN3	CAB009869
POLR2F	CAB009882
GTF2E1	CAB009884
SFPQ	CAB009886
AK1	CAB009893
C9orf47	CAB009902
PLCD1	CAB009913
PLCD4	CAB009914
PTGDS	CAB009916
MMP14	CAB009918
GREM2	CAB009920
CXCL11	CAB009921
PACSIN1	CAB009929
SNW1	CAB009931
XPC	CAB009932
RAB6A	CAB009936
PRPF8	CAB009941
RAB3A	CAB009949
DNM1L	CAB009952
NELFA	CAB009960
MSTN	CAB009963
AEBP1	CAB009966
MAT2A	CAB009968
ARHGDIA	CAB010005
GNB2	CAB010032
GNAQ	CAB010036
NID1	CAB010044
GNA12	CAB010046
PLA2G4A	CAB010050
HK1	CAB010052
MDK	CAB010055
SH3GL2	CAB010056
CRYBB1	CAB010058
CASP14	CAB010059
PGK1	CAB010065
TRIM28	CAB010066
CALML3	CAB010070
NAPA	CAB010100
CA2	CAB010102
S1PR1	CAB010104
STMN1	CAB010107
USO1	CAB010108
POLR3G	CAB010109
TACC3	CAB010111
TFPI2	CAB010142
BECN1	CAB010143
POLR1A	CAB010145
NCF4	CAB010146
FNTA	CAB010149
NRAS	CAB010157
RRAS	CAB010160
SHB	CAB010161
DDR1	CAB010162
EPS15	CAB010164
MAP3K11	CAB010165
TTK	CAB010166
LAMA1	CAB010179
XPO1	CAB010184
SOCS6	CAB010189
PML	CAB010194
TIMP2	CAB010203
CCNI	CAB010206
ATP2C1	CAB010207
FADD	CAB010209
IL7R	CAB010215
ADCY3	CAB010223
RAB5B	CAB010224
RAB1B	CAB010225
PMS2	CAB010235
SP2	CAB010245
SP4	CAB010246
LIFR	CAB010252
ACOT8	CAB010261
FOSB	CAB010267
IGF1R	CAB010268
NFKBIE	CAB010272
TRAF5	CAB010277
PKN1	CAB010278
MAPK14	CAB010285
YWHAQ	CAB010286
MAF	CAB010296
MAPKAPK2	CAB010297
RIPK1	CAB010302
IL5	CAB010304
MYC	CAB010307
TNFRSF1A	CAB010309
IL2	CAB010310
FGF5	CAB010313
FGF10	CAB010315
HGF	CAB010333
EPO	CAB010336
GNAS	CAB010337
RPL10	CAB010339
JAG1	CAB010343
IFNG	CAB010344
TANK	CAB010345
NTRK2	CAB010346
SOCS1	CAB010355
SOCS2	CAB010356
TEK	CAB010359
IGFBP3	CAB010360
PRKACA	CAB010361
PRKACB	CAB010363
IKBKG	CAB010373
RAD51	CAB010381
CLTC	CAB010389
TNFRSF11A	CAB010391
CD46	CAB010401
RASGRF1	CAB010413
